method,window,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
rolling_cost_selector,eval_december,evaluation,14,1189235.8092467864,28.02018466666675,840716.4356093083,207.1730520160006,840923.6086613243,68971.63065548736,6093.170895774245,308950.3731359059,249875.84122238093,1451.3861965089911,1866.898438401062,0.857148759920635,840603.0684387416,2,0,1.0231815394945443e-12
rolling_mae_selector,dev_march,development,14,862863.4149835038,118.95763139904466,514478.25810541085,766.3507103357576,515244.6088157466,52249.375068752444,53415.98869733803,269074.9551439847,218002.15947850572,1607.6682326867735,1550.5062194888894,0.7306390376984127,515282.19713423087,3,4,2.021099337273174e-12
rolling_mae_selector,dev_april,development,14,690272.5411005785,4898.952174697134,388268.9428279957,31130.739800369738,419399.6826283654,21002.056651668452,108278.70713591536,241312.56731889944,195502.64254787427,1618.0719069862432,1574.2241074687856,0.6869833333333333,419426.7930650901,13,4,5.6009715384182826e-11
rolling_mae_selector,val_june,validation,14,1019937.7341179211,98.94922438095239,681642.5060859184,685.0159083032381,682327.5219942217,118185.12888958384,45132.50288788831,241177.62265639854,194151.40024156854,1781.3549957153423,3117.437340286773,0.7637298611111111,681409.1566091144,9,1,1.6086687537608668e-11
rolling_mae_selector,val_august,validation,14,917723.5287360888,2252.598847625693,638459.477032652,15309.00673646763,653768.4837691196,29758.400498767798,86671.0659340976,252375.61012182245,204228.41173764,2178.160729337569,2395.7523527111116,0.7965640873015873,653612.4906635303,31,4,4.092726157978177e-12
rolling_mae_selector,eval_september,evaluation,14,828263.8199874047,982.5075499999984,527594.6728805252,5249.697479841659,532844.3703603669,51235.89788742855,93014.03596554967,241669.97730901232,197383.6296245857,4786.2408636984155,2974.0764144920645,0.7184592261904762,534016.1400014829,9,4,1.6370904631912708e-11
rolling_mae_selector,eval_december,evaluation,14,1189235.8092467864,28.02018466666675,840716.4356093083,207.1730520160006,840923.6086613243,68971.63065548736,6093.170895774245,308950.3731359059,249875.84122238093,1451.3861965089911,1866.898438401062,0.857148759920635,840603.0684387416,2,0,1.0231815394945443e-12
oracle_alpha_daily,dev_march,development,14,862767.6907219482,66.69982323523755,514217.2677316946,428.4773619293776,514645.745093624,52193.69692374833,53361.529032276296,268875.7748300188,217840.82342419334,1607.6682326867735,1550.5062194888894,0.7306390376984127,514683.33341210824,3,4,1.8189894035458565e-12
oracle_alpha_daily,dev_april,development,14,689823.2033960964,4938.383083620943,387696.09620541247,31123.27119510247,418819.36740051495,21409.962555153463,107746.57196585186,239809.00137690062,194284.75413485523,1618.0719069862432,1574.2241074687856,0.6869833333333333,418846.4778372396,13,4,5.6009715384182826e-11
oracle_alpha_daily,val_june,validation,14,1018890.316642355,95.86818352380942,680693.5485003506,663.9693182080946,681357.5178185587,118471.6982692652,44221.57545633158,238195.4598188536,191595.3778685714,1781.3549957153423,3273.515645382012,0.7637298611111111,680331.8709374059,8,1,2.5579538487363607e-12
oracle_alpha_daily,val_august,validation,14,917782.9815077215,2252.598847625693,638147.5471934478,15309.00673646763,653456.5539299154,30238.68328921224,86053.09469986362,253413.19546615047,205068.85586654572,2178.160729337569,2395.7523527111116,0.7965640873015873,653300.5608243261,31,4,3.98535525568554e-12
oracle_alpha_daily,eval_september,evaluation,14,824931.636329941,310.38018333333156,526273.6334599303,1632.7536600333237,527906.3871199636,47010.050656747786,93220.95301878777,241746.92022118162,197445.95338344283,4786.2408636984155,2974.0764144920645,0.7184592261904762,529078.1567610797,6,4,1.6370904631912708e-11
oracle_alpha_daily,eval_december,evaluation,14,1189552.4759134531,28.02018466666675,840260.3700790891,207.1730520160006,840467.543131105,68920.77707834804,6093.170895774245,310884.690208569,251442.6380512381,1451.3861965089911,1866.898438401062,0.857148759920635,840147.0029085224,2,0,1.0231815394945443e-12
