method,window,period,date,selected_alpha,selector_score_type,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
blend_a100,eval_december,evaluation,2025-12-17,1.0,none,1830.002305755558,1875.848881186245,99301.84177987183,0.0,75798.81816862793,0.0,75798.81816862793,6848.438154174015,0.0,22212.0770586502,17950.520499619044,75761.31893649412,0,LP,0.0054616999987047166,1.0231815394945443e-12,0
blend_a100,eval_december,evaluation,2025-12-18,1.0,none,1875.848881186245,1865.7872980433888,98744.06427248206,0.0,74616.13279862392,0.0,74616.13279862392,7015.193275529683,0.0,23008.733974285715,18646.129944,74624.36850627384,0,LP,0.0065559000067878515,9.094947017729282e-13,0
blend_a100,eval_december,evaluation,2025-12-19,1.0,none,1865.7872980433888,1694.2762466719578,52224.09750531099,0.0,24123.14758611462,0.0,24123.14758611462,3934.652207141687,1810.65698271605,19603.984008881824,16033.58699342857,24235.073125573846,0,LP,0.007658599992282689,1.0231815394945443e-12,0
blend_a100,eval_december,evaluation,2025-12-20,1.0,none,1694.2762466719578,1872.7814958687843,52488.170953038214,0.0,24201.309429357596,0.0,24201.309429357596,3795.830902636096,1821.318116666667,20284.289260306876,16269.619576571426,24085.80336836512,0,LP,0.007280699996044859,9.094947017729282e-13,0
blend_a100,eval_december,evaluation,2025-12-21,1.0,none,1872.7814958687843,1866.898438401062,97965.79764183186,0.0,74285.28370205458,0.0,74285.28370205458,4540.82290248089,0.0,23118.3559179224,18731.163045238092,74290.10233058085,0,LP,0.005676500004483387,9.094947017729282e-13,0
mean7,dev_march,development,2025-03-07,,none,1607.6682326867735,1808.2773627661372,34204.04107473368,0.0,14122.63898379,0.0,14122.63898379,550.6903033004121,9489.951768295117,16108.23817228101,12867.124702476189,14012.775142940625,0,MILP,0.1676244999980554,3.467448550509289e-12,0
mean7,dev_march,development,2025-03-08,,none,1808.2773627661372,1746.895154250794,32960.675490697235,0.0,13590.144166921504,0.0,13590.144166921504,530.8883921446202,10478.911097945915,15489.37090317813,12601.634419238095,13623.13936746744,0,MILP,0.11209079998661764,1.8189894035458565e-12,0
mean7,dev_march,development,2025-03-09,,none,1746.895154250794,1557.369274065611,76853.87114620223,0.0,48585.780498432374,0.0,48585.780498432374,7742.26806506878,2093.227828646677,20291.702603439157,16606.85240095238,48719.47738473038,0,LP,0.00801410002168268,9.094947017729282e-13,0
mean7,dev_march,development,2025-03-10,,none,1557.369274065611,1449.0327087386274,75454.68785399408,0.0,49156.874618939124,0.0,49156.874618939124,3092.2254829653084,360.69671666666625,21353.66901661258,17393.974812250475,49235.11596352181,0,LP,0.006184700003359467,6.821210263296962e-13,0
mean7,dev_march,development,2025-03-11,,none,1449.0327087386274,1660.3619091830622,75260.44856876307,0.0,48144.43586615824,0.0,48144.43586615824,5778.812809918864,1440.661016666667,20588.735061987063,16486.679119809527,47994.296243217985,0,LP,0.006598700012546033,7.736034035588091e-13,0
