method,window,period,date,selected_plan,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
mean7,eval_september,evaluation,2025-09-11,mean7,5238.316696867728,5267.832231968257,68579.1412554168,0.0,45187.745414369485,0.0,45187.745414369485,6862.961672665488,4680.02805,18492.11456751322,14952.048818095234,45167.741039088585,0,LP,0.005743599991546944,9.094947017729282e-13,0
mean7,eval_september,evaluation,2025-09-12,mean7,5267.832231968257,5091.8495524444415,34678.13553075238,0.0,17410.78387866698,0.0,17410.78387866698,1114.4127548571428,19771.312085201527,12627.046854027038,10386.292363333332,17501.868443989046,0,MILP,0.08459660000517033,1.9326762412674725e-12,0
mean7,eval_september,evaluation,2025-09-13,mean7,5091.8495524444415,5503.060397386243,35154.16471337143,0.0,17563.745789373785,0.0,17563.745789373785,650.3203497824813,23643.889300605522,13067.17799580247,10214.324416152378,17354.08402892431,0,MILP,0.11771920000319369,4.663595626671179e-12,0
mean7,eval_september,evaluation,2025-09-14,mean7,5503.060397386243,5017.729710634924,67991.41635631863,0.0,45953.34523561001,0.0,45953.34523561001,4629.763650476189,156.4725878600807,18645.542031887126,15539.68666390476,46292.259237460436,0,LP,0.006705999985570088,1.0231815394945443e-12,0
mean7,eval_september,evaluation,2025-09-15,mean7,5017.729710634924,4346.819261216931,66845.20598122045,0.0,44483.19185760012,0.0,44483.19185760012,5450.783866126983,3343.6896110922958,18881.690921810696,15897.989051142855,44943.13703211281,0,LP,0.006020600005285814,7.105427357601002e-13,0
mean7,eval_september,evaluation,2025-09-16,mean7,4346.819261216931,3962.9858893227524,67072.47087710288,0.0,45277.021555688676,0.0,45277.021555688676,2963.7135246208118,1430.3384217530897,18589.99464263374,15403.345695238095,45545.763210707955,0,LP,0.006835999985923991,7.673861546209082e-13,0
mean7,eval_september,evaluation,2025-09-17,mean7,3962.9858893227524,4272.116691571428,68302.34126374603,7.62916666666672,45573.89542539511,38.19542291666694,45612.090848311775,4246.706717246327,0.0,20131.197848118747,16028.05253495238,45395.62219724389,1,LP,0.0051725999801419675,9.094947017729282e-13,0
mean7,eval_september,evaluation,2025-09-18,mean7,4272.116691571428,4102.204983957672,68082.89330037507,0.0,44899.28540532378,0.0,44899.28540532378,4103.582394669018,1526.2655031651957,19210.078014350383,15713.08372847619,45017.00756380098,0,LP,0.005868000007467344,9.094947017729282e-13,0
mean7,eval_september,evaluation,2025-09-19,mean7,4102.204983957672,4563.487342973546,34833.502167554376,0.0,17156.936978032616,0.0,17156.936978032616,480.1960529276891,15281.194618636091,13450.552927419167,10479.793748095237,16910.645929590642,0,MILP,0.09678900000290014,2.589533525881254e-12,0
mean7,eval_september,evaluation,2025-09-20,mean7,4563.487342973546,4627.468890444444,34488.79635382128,0.0,16680.018558275347,0.0,16680.018558275347,605.289947142857,15593.405164015287,13616.232192663134,10971.564683333332,16646.19055440427,0,MILP,0.11435670001083054,2.0463630789890885e-12,0
mean7,eval_september,evaluation,2025-09-21,mean7,4627.468890444444,4219.9497584232795,70812.93206489946,0.0,47677.43499170152,0.0,47677.43499170152,6214.731542497354,3429.82725,17092.910567830688,14212.024778761906,47961.25754928518,0,LP,0.008652899996377528,9.094947017729282e-13,0
mean7,eval_september,evaluation,2025-09-22,mean7,4219.9497584232795,3230.9975513597915,68400.17338225867,0.0,45839.26835360398,0.0,45839.26835360398,2732.9273403151115,2524.7006999999994,17992.539184038797,15464.013725428573,46535.440641671186,0,LP,0.00812210000003688,8.881784197001252e-13,0
mean7,eval_september,evaluation,2025-09-23,mean7,3230.9975513597915,3015.186272931218,70396.09321486302,0.0,46525.84878368658,0.0,46525.84878368658,2917.0275938306877,1785.7420661846013,19847.042747895346,16270.33477638095,46677.688608553115,0,LP,0.009034500020788983,9.094947017729282e-13,0
mean7,eval_december,evaluation,2025-12-08,mean7,1451.3861965089911,1823.0339727153448,96889.40221220929,0.0,73415.16957345138,0.0,73415.16957345138,4303.361958872428,0.0,23180.76914781305,18441.940011142855,73111.28665907933,0,LP,0.007929799990961328,9.663381206337363e-13,0
mean7,eval_december,evaluation,2025-12-09,mean7,1823.0339727153448,1683.0517489354504,96886.96378117341,28.02018466666675,72649.39874829694,207.1730520160006,72856.57180031294,5216.630047634331,0.0,23346.756068110517,19036.85641657143,72970.68522164943,2,LP,0.007587500003864989,6.821210263296962e-13,0
mean7,eval_december,evaluation,2025-12-10,mean7,1683.0517489354504,1630.41333437037,97080.37761040211,0.0,73928.39251099381,0.0,73928.39251099381,4388.33247580011,0.0,22904.21705812581,18599.79039019048,73971.79515383435,0,LP,0.007121400005416945,9.094947017729282e-13,0
mean7,eval_december,evaluation,2025-12-11,mean7,1630.41333437037,1849.5066304476222,97468.24909619165,0.0,72690.50660908954,0.0,72690.50660908954,7011.706431443853,0.0,22621.59999093827,18126.312026190473,72513.5075710543,0,LP,0.008007299999007955,9.094947017729282e-13,0
mean7,eval_december,evaluation,2025-12-12,mean7,1849.5066304476222,1922.1565517195847,50946.63655140623,0.0,23518.60312390172,0.0,23518.60312390172,2015.804446546742,1328.8133463915274,20116.949189420335,16229.343914285711,23471.278828966562,0,LP,0.00876669998979196,1.0231815394945443e-12,0
mean7,eval_december,evaluation,2025-12-13,mean7,1922.1565517195847,2001.8885422253966,51821.586006790116,0.0,24285.644954085,0.0,24285.644954085,2986.9171102692585,1132.38245,20168.390903854193,16264.637840666666,24233.28281312259,0,LP,0.0088246000232175,7.958078640513122e-13,0
mean7,eval_december,evaluation,2025-12-14,mean7,2001.8885422253966,1739.627803660316,97981.36402969193,0.0,75056.59107577111,0.0,75056.59107577111,5070.020763092301,0.0,22992.927006885355,18860.305540285714,75273.91704286823,0,LP,0.008454499999061227,6.821210263296962e-13,0
mean7,eval_december,evaluation,2025-12-15,mean7,1739.627803660316,1911.330116133336,99872.19156622222,0.0,76624.21325448077,0.0,76624.21325448077,5856.4810384444445,0.0,23113.791999396828,18567.639438285714,76482.90289519915,0,LP,0.006466099992394447,9.094947017729282e-13,0
mean7,eval_december,evaluation,2025-12-16,mean7,1911.330116133336,1830.002305755558,99682.91976615167,0.0,75926.10397873515,0.0,75926.10397873515,6019.673972596122,0.0,22728.155208222215,18483.000748,75992.77834755859,0,LP,0.006406300002709031,9.094947017729282e-13,0
mean7,eval_december,evaluation,2025-12-17,mean7,1830.002305755558,1875.848881186245,99301.84177987183,0.0,75837.82804770386,0.0,75837.82804770386,6848.438154174018,0.0,22212.077058650197,17950.520499619044,75800.32881557006,0,LP,0.0065956999897025526,1.0231815394945443e-12,0
mean7,eval_december,evaluation,2025-12-18,mean7,1875.848881186245,1865.7872980433888,98744.06427248205,0.0,74648.42216844569,0.0,74648.42216844569,6997.454446426801,0.0,23102.096232721928,18721.753373333333,74656.6578760956,0,LP,0.007984800002304837,9.094947017729282e-13,0
mean7,eval_december,evaluation,2025-12-19,mean7,1865.7872980433888,1694.2762466719578,52224.09750531099,0.0,24122.969309358465,0.0,24122.969309358465,3934.6522071416844,1810.65698271605,19603.984008881827,16033.58699342857,24234.89484881769,0,LP,0.00667760000214912,1.0231815394945443e-12,0
mean7,eval_december,evaluation,2025-12-20,mean7,1694.2762466719578,1872.7814958687843,52488.170953038214,0.0,24219.87187015617,0.0,24219.87187015617,3795.8309026360967,1821.318116666667,20284.289260306876,16269.619576571426,24104.365809163693,0,LP,0.008667899994179606,9.094947017729282e-13,0
