method,window,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
lag1_shift6h,dev_march,development,14,861024.4007996883,89.55963497333364,683099.1864293662,189.08768295869396,683288.2741123249,31421.686884603154,72945.83022485713,266089.6285640258,215587.39842215812,1607.6682326867735,1546.7801379121643,0.7306390376984127,683328.312609401,5,4,5.4001247917767614e-12
lag1_shift6h,dev_april,development,14,692849.9237781493,4233.102316125713,513630.94254008494,9608.311064271415,523239.2536043564,20004.546784055277,110342.12806925827,246192.13069844796,199536.58417415334,1618.0719069862432,1483.6737865301616,0.6869833333333333,523322.34994626255,12,4,2.816907201324486e-12
lag1_shift6h,val_june,validation,14,1027040.9356702184,71.7718518095237,850430.9775785813,495.4578024183802,850926.4353809998,115553.05245058291,49149.04869647947,273138.44273940264,220420.6655144371,1781.3549957153423,2694.102889580954,0.7637298611111111,850299.0518410095,5,1,1.1937117960769683e-12
lag1_shift6h,val_august,validation,14,928661.1229755785,1510.8948836104648,822114.211374681,7459.359631634224,829573.5710063153,29415.100138781876,88830.65543451614,297991.7156625749,241464.9161433505,2178.160729337569,2076.3535552656085,0.7965640873015873,829646.5573511411,25,4,1.0913936421275139e-11
lag1_shift6h,eval_september,evaluation,14,847136.4529920642,6.375,713454.0100335828,44.0799375,713498.0899710829,48196.728631047925,109225.44221959909,267257.1776940246,218246.5665526076,4786.2408636984155,2821.5157298677295,0.7184592261904762,714768.5073804789,1,4,6.014033715473488e-11
lag1_shift6h,eval_december,evaluation,14,1181720.2390757082,19.708891619047904,1021498.0390611993,108.59371308347774,1021606.6327742827,54644.905574422504,13881.695718947662,301205.5506270981,243116.6999198076,1451.3861965089911,2406.7151833333373,0.857148759920635,1020869.6596235472,3,0,1.0231815394945443e-12
oracle,dev_march,development,14,865194.5984201239,103.88407772380845,509769.9112775651,671.8768545048797,510441.78813207004,51689.39008759389,53540.854654883005,283561.4966111005,229737.47203906282,1607.6682326867735,1549.1573614962977,0.7306390376984127,510480.2634260294,3,4,2.0463630789890885e-12
oracle,dev_april,development,14,693252.3861492521,5226.544452572368,383666.36221870396,33624.001377306886,417290.36359601084,23375.16913633042,106155.33055229396,257313.5834306466,208445.95723411333,1618.0719069862432,1593.67784555344,0.6869833333333333,417305.4460782838,11,4,1.2656897752094665e-10
oracle,val_june,validation,14,1021587.1953255403,98.94922438095239,676453.8356829694,685.0159083032381,677138.8515912726,119690.53486303004,42842.88060763552,253690.44021946614,204230.54029021045,1781.3549957153423,3179.9286485566154,0.7637298611111111,676177.5323757983,9,1,1.1368683772161603e-12
oracle,val_august,validation,14,919534.5047063394,2665.5055042666513,634895.4996626476,20136.814176996068,655032.3138396437,31285.130808405647,85611.96980184007,261619.02301398703,211715.57618029337,2178.160729337569,2395.7523527111125,0.7965640873015873,654876.3207340544,31,4,2.546585164964199e-11
oracle,eval_september,evaluation,14,829540.1161827501,982.5075499999984,520688.1304951136,5249.697479841658,525937.8279749552,49036.466973828305,92030.66151385655,265043.1908784891,216297.7416334238,4786.2408636984155,2994.28861720106,0.7184592261904762,527096.528136905,9,4,7.617018127348274e-12
oracle,eval_december,evaluation,14,1192300.035918844,28.02018466666675,837447.3374327673,207.1730520160006,837654.5104847833,69201.39151165666,6062.706057393292,323997.60470746143,262058.14213966756,1451.3861965089911,1873.5169447047635,0.857148759920635,837328.864522177,2,0,1.0231815394945443e-12
