method,window,period,date,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,predicted_plan_cost,actual_mean_price,forecast_mean_price,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
mean28,val_june,validation,2025-06-10,2128.603648617991,2282.374572296297,86242.18468326394,0.0,59718.57587109601,0.0,59718.57587109601,10270.159313908287,458.2999333333329,19773.09142830805,15877.810225619045,51882.05637444975,0.8168180555555556,0.7169757936507936,0,LP,0.003838400007225573,9.094947017729282e-13,0
mean28,val_june,validation,2025-06-11,2282.374572296297,2438.110544371431,86870.45867938506,2.011921428571327,60263.43838452235,13.950663185713582,60277.389047708064,6139.105445231044,0.0,23730.29717920164,19081.378340285708,52387.01700231111,0.8316965277777778,0.7191319444444445,1,LP,0.004088399989996105,8.526512829121202e-13,0
mean28,val_june,validation,2025-06-12,2438.110544371431,2602.310028023281,87552.87874803178,0.0,61166.307685124775,0.0,61166.307685124775,10793.983868360969,448.5068666666666,19527.45812833744,15669.461548666668,53334.04459799915,0.8219833333333333,0.7221371279761906,0,LP,0.003973400016548112,8.526512829121202e-13,0
mean28,val_june,validation,2025-06-13,2602.310028023281,2575.636351815873,39953.148326971226,0.0,20155.200862781414,0.0,20155.200862781414,2599.861408237516,6619.461183333333,12697.464968352733,10308.95293295238,22808.444146244507,0.6400291666666666,0.7246087797619047,0,LP,0.004435299983015284,8.526512829121202e-13,0
mean28,val_june,validation,2025-06-14,2575.636351815873,2621.9770834973533,40111.22518016571,0.0,20685.753896201168,0.0,20685.753896201168,2344.5435525714315,9273.032524609052,11887.366813009994,9587.060460024755,23016.465549878303,0.6368673611111111,0.7279889136904762,0,LP,0.0047079999931156635,9.094947017729282e-13,0
mean28,val_june,validation,2025-06-15,2621.9770834973533,3274.075601164022,88786.32215497117,0.0,61705.54714371817,0.0,61705.54714371817,13479.4786249077,298.84709999999995,19969.12332015873,15588.101223428568,54919.90082688604,0.8178270833333333,0.7302550347222222,0,LP,0.0040831000078469515,8.526512829121202e-13,0
mean28,val_june,validation,2025-06-16,3274.075601164022,3108.256751350266,87415.2064708336,0.0,61612.54139941986,0.0,61612.54139941986,10952.421199673143,134.01041666666652,19915.573698208103,16280.85166038095,54342.598188541066,0.8232416666666666,0.7326531001984127,0,LP,0.004100899997865781,9.663381206337363e-13,0
mean28,val_june,validation,2025-06-17,3108.256751350266,2706.8222402793654,86680.72414110287,3.081040857142966,60595.75340649207,21.046590095143603,60616.799996587215,8502.143958172832,82.02935000000014,20125.851142549094,16663.230485428572,54006.6718582555,0.8286263888888888,0.7359203124999999,1,LP,0.0041174000070896,9.094947017729282e-13,0
mean28,val_june,validation,2025-06-18,2706.8222402793654,2982.7942848275147,87360.59475026102,0.0,61017.23466575133,0.0,61017.23466575133,12638.58798340976,88.67290000000003,18192.46382504174,14487.520858190475,54386.39662355892,0.82005,0.7384933283730158,0,LP,0.00435740000102669,9.094947017729282e-13,0
mean28,val_june,validation,2025-06-19,2982.7942848275147,2739.674852192594,85271.34428312758,48.66240171428569,58560.38225329907,334.32397563485705,58894.70622893392,12190.148059388612,1556.9697499999997,18590.485078024692,15277.10040257143,53353.55969151477,0.8079104166666666,0.741144246031746,2,LP,0.005448200012324378,9.094947017729282e-13,0
mean28,val_june,validation,2025-06-20,2739.674852192594,2884.6010395206395,36603.82914585302,0.0,18776.470931386808,0.0,18776.470931386808,1407.5243536190487,10477.990975604938,11512.102094914753,9194.36912828571,21585.62872283892,0.6213069444444445,0.7433484375,0,LP,0.004456499998923391,9.094947017729282e-13,0
mean28,val_june,validation,2025-06-21,2884.6010395206395,3117.437340286773,35252.93467776476,0.0,18137.806418608303,0.0,18137.806418608303,1836.3819078095253,11549.452755479131,12225.299704139916,9692.940089663813,20956.07978588289,0.6095256944444445,0.7456460317460317,0,MILP,0.09081950000836514,1.0800249583553523e-12,0
mean28,val_august,validation,2025-08-18,2178.160729337569,2134.924192117462,72442.8979917119,102.00601809523812,52938.75510084664,860.0659960050001,53798.82109685165,2419.521094069376,2044.6419833333339,19608.09578545207,15921.470469714288,50303.37229732057,0.8475611111111111,0.8039282738095239,4,LP,0.004491100000450388,8.668621376273222e-13,0
mean28,val_august,validation,2025-08-19,2134.924192117462,1852.4128791502637,72320.79132383893,115.82866466666655,52918.400267023964,987.5119954816656,53905.91226250563,1844.044219633157,3103.7749909370964,18028.425840030563,14857.285112095242,50122.26808629894,0.8429152777777777,0.8027990575396825,4,LP,0.004367200017441064,8.526512829121202e-13,0
mean28,val_august,validation,2025-08-20,1852.4128791502637,1630.2109173555552,72871.02814889593,1799.0456594028396,53836.409085390354,11475.36064974276,65311.76973513312,436.4507375238096,0.0,19910.072472229276,16327.140468120975,50381.31607416908,0.866348611111111,0.8016484126984128,11,LP,0.004390699992654845,8.810729923425242e-13,0
mean28,val_august,validation,2025-08-21,1630.2109173555552,1854.96182146032,74223.70503470549,0.0,53827.59739112648,0.0,53827.59739112648,2730.244836023515,1886.202093855375,18739.80951473133,14976.969893238092,50996.59798324978,0.8472069444444443,0.8013185763888889,0,LP,0.004553700011456385,9.094947017729282e-13,0
mean28,val_august,validation,2025-08-22,1854.96182146032,1486.6533281999998,40199.23855096648,33.57257334380829,22761.860667917597,68.55519476805651,22830.41586268565,0.0,16864.03658289359,12998.330449215753,10860.12530779905,26253.01500846521,0.6604708333333333,0.8002386160714285,1,MILP,0.08530720000271685,8.833467290969566e-11,0
mean28,val_august,validation,2025-08-23,1486.6533281999998,1916.1332087280416,40856.08646950029,0.0,22722.56042623388,0.0,22722.56042623388,430.1179870029397,15036.989721535561,13012.845886771309,10153.873275809523,26752.28012696335,0.6591965277777778,0.7996494047619047,0,MILP,0.08331909999833442,8.01492205937393e-12,0
mean28,val_august,validation,2025-08-24,1916.1332087280416,2100.0782866380923,76191.91484413992,0.0,54779.46784718211,0.0,54779.46784718211,4229.894518825399,4279.161608546739,19914.308754291593,15965.039520857146,51994.15879434017,0.8410215277777777,0.7986203869047619,0,LP,0.004590600001392886,1.0231815394945443e-12,0
