strategy,month,plan_kwh,emergency_kwh,load_kwh,plan_cost,emergency_cost,total_cost,pv_spill_kwh,paid_grid_spill_kwh,charge_kwh,discharge_kwh,days,e_start,e_end,emergency_slots,milp_days,inventory_adjusted_min,inventory_adjusted_mean,inventory_adjusted_max
q0.95,11,2507102.987297692,49.043799999999806,3123123.369616667,1599117.553870211,228.15804503333243,1599345.7119152439,132964.06191294978,492951.33902015834,510542.61197079805,417278.3897895477,30,10800.0,6645.695451998679,4,0,1600733.9558660495,1602210.4268596934,1604562.1890500782
q0.95,12,3110074.685544808,4257.2073538631,3490331.5867666667,2021094.9877202134,20935.838243578255,2042030.8259637917,42583.39767806289,595496.1444243914,591667.6433578292,479452.22879494634,31,6645.695451998679,6421.875812993388,24,0,2042105.619772558,2042185.1669509078,2042311.871808098
operational,2,2262293.0922536706,1095.25668420476,3035354.4650166663,1414734.0865947572,5236.224384364848,1419970.3109791223,107611.34514223396,342550.2065623018,522879.60614038596,423532.48097371275,28,10800.0,10800.0,44,0,1419970.3109791223,1419970.3109791223,1419970.3109791223
operational,3,2108087.0794935985,10148.987417438077,3240640.0525833336,1287710.9863425547,64205.18172481919,1351916.168067374,197577.33860986476,294363.98249312164,547718.8982138976,447741.8188725141,31,10800.0,6256.098534158728,50,0,1353434.6036202142,1355049.5402804352,1357621.8542600016
operational,4,1761542.3229412641,11949.001729707237,3162943.2953166664,1054134.3105631496,77650.76598161647,1131785.076544766,248650.53594552024,211711.41616932975,503088.64368725446,407688.8701311334,30,6256.098534158728,6048.244373650792,46,0,1131854.535169583,1131928.4080971337,1132046.0748570326
operational,5,1805355.9748742739,5115.592067081534,3274848.2480000006,1103829.7535137131,34004.74342411281,1137834.496937826,291455.52724019985,236127.45501767105,483725.99100630893,387647.8712894911,31,6048.244373650792,10681.77929100529,34,0,1136286.1085744938,1134639.315513354,1132016.2598128023
operational,6,2332488.725628603,33532.94790173981,3456268.2931999993,1460912.4113877765,209186.4160857943,1670098.8274735706,134033.17542470485,389736.7527009995,505122.9439513052,412864.36473,30,10681.77929100529,6554.245813846562,148,0,1671478.1253356328,1672945.081689916,1675281.6887101692
operational,7,2522080.648345125,14331.852037693285,3970920.440116667,1594576.3061551338,88645.69077419529,1683221.9969293294,161101.6382673588,326304.22188044357,548070.2300402584,443882.8493219094,31,6554.245813846562,6614.286936846563,118,0,1683201.9329872564,1683180.593921834,1683146.6044920008
operational,8,2256808.675508103,7892.204199142836,3753611.725449999,1440919.7041732084,52113.75231334261,1493033.4564865516,293214.71395933104,292512.1684438624,499280.06495967676,404418.93192229065,31,6614.286936846563,6611.976598010581,83,0,1493034.2285324803,1493035.0496442302,1493036.3575328211
operational,9,1955857.7315933863,6657.885587807924,3265855.5116333338,1229442.190745272,42614.558670374034,1272056.7494156458,231053.27775968847,243860.7658444208,523877.718860623,424660.0125335381,30,6611.976598010581,6257.465201973546,65,0,1272175.2164888596,1272301.2124978465,1272501.9022854217
operational,10,2084927.140818195,7643.737871472944,3234182.50155,1291612.0736939737,46450.51641185008,1338062.590105824,228430.13809239864,279112.5503658141,556875.357262622,446980.75806449994,31,6257.465201973546,10800.0,55,0,1336544.6112523675,1334930.1603161378,1332358.6200106381
operational,11,2371943.7505316935,992.8189678904805,3123123.369616667,1498551.0747275047,5547.678457111689,1504098.7531846168,126681.13269816579,358428.8374423561,547825.868117726,447971.6767419962,30,10800.0,6096.973814846561,20,0,1505670.3634449095,1507341.8542238094,1510004.2491047902
operational,12,2948310.6925170543,13816.39700421429,3490331.5867666667,1898052.7671756549,71641.65228033059,1969694.419455985,38838.81920068782,439986.6325665195,628417.3391788948,509152.6376581668,31,6096.973814846561,5947.426122333334,79,0,1969744.393808392,1969797.5441799192,1969882.20350252
