date,mae,rmse,mean_bias,forecast_mean,actual_mean
2025-03-16,0.04943938492063491,0.05973566241084242,-0.04428720238095238,0.7406079365079364,0.784895138888889
2025-03-17,0.035512648809523824,0.04285009823467919,-0.021524751984126993,0.7386509424603174,0.7601756944444445
2025-03-18,0.04444652777777779,0.05575217307240965,-0.04105674603174605,0.7349599206349207,0.7760166666666666
2025-03-19,0.0440017857142857,0.05510458154428904,-0.03863621031746031,0.7332019841269841,0.7718381944444445
2025-03-20,0.05137728174603175,0.060751850569734846,-0.047054960317460315,0.7315832341269842,0.7786381944444444
2025-03-21,0.1603487599206349,0.18118092457205315,0.1603487599206349,0.7306390376984128,0.5702902777777777
2025-03-22,0.1405739583333333,0.1579927009967226,0.14052147817460317,0.7279096726190476,0.5873881944444445
2025-03-23,0.043114930555555556,0.054050359089213296,-0.03997415674603175,0.7272043154761905,0.7671784722222222
2025-03-24,0.04735481150793652,0.05764331664651829,-0.04146969246031747,0.7260164186507936,0.7674861111111111
2025-03-25,0.05148844246031747,0.06159946115842657,-0.04775679563492064,0.7235188988095238,0.7712756944444445
2025-03-26,0.04435208333333334,0.054558861653453104,-0.034386309523809534,0.7222248015873016,0.7566111111111112
2025-03-27,0.051274702380952365,0.06189181524416364,-0.04587380952380951,0.7205421626984128,0.7664159722222222
2025-03-28,0.14394310515873016,0.16406165553178625,0.1434011408730159,0.7181691964285714,0.5747680555555555
2025-03-29,0.1549357142857143,0.17740768961960976,0.1538953373015873,0.7169821428571428,0.5630868055555556
2025-03-30,0.04500481150793652,0.053973779849203804,-0.038022470238095255,0.7140046130952381,0.7520270833333333
2025-03-31,0.05231086309523811,0.06603841811845489,-0.04904727182539684,0.7116568948412697,0.7607041666666667
2025-04-01,0.06701537698412698,0.0824188848853382,-0.06141438492063492,0.7116946428571428,0.7731090277777778
2025-04-02,0.06307693452380951,0.0792049231835061,-0.06083318452380951,0.7114869543650794,0.772320138888889
2025-04-03,0.0565717757936508,0.06691175220589035,-0.05294250992063492,0.711521378968254,0.7644638888888888
