method,window,period,date,mae,mse,rank_correlation
netload_shape_value_update,val_june,validation,2025-06-17,0.061037083886313334,0.006442180545961008,0.9319065991479785
netload_shape_value_update,val_june,validation,2025-06-18,0.053377598489289815,0.0050860666331405836,0.9458091650687649
netload_shape_value_update,val_june,validation,2025-06-19,0.04429188938177131,0.0036453191576102583,0.9521228763493026
netload_shape_value_update,val_june,validation,2025-06-20,0.04509757306878068,0.0029558834756503987,0.9450576170103808
netload_shape_value_update,val_june,validation,2025-06-21,0.060240988879282184,0.005670978462699511,0.9235299850599319
netload_shape_value_update,val_august,validation,2025-08-18,0.03652649209211925,0.0020097856508329345,0.9779167005812668
netload_shape_value_update,val_august,validation,2025-08-19,0.032986875484885075,0.0017779979752659374,0.9704464481300201
netload_shape_value_update,val_august,validation,2025-08-20,0.04100994140056746,0.002654323105858204,0.960693433700985
netload_shape_value_update,val_august,validation,2025-08-21,0.03589870916894388,0.0021450072709403773,0.9579364178290523
netload_shape_value_update,val_august,validation,2025-08-22,0.060655695448973646,0.006137839195809634,0.9655673401224998
netload_shape_value_update,val_august,validation,2025-08-23,0.06018912500495394,0.006168436476553625,0.964891251599285
netload_shape_value_update,val_august,validation,2025-08-24,0.036927674572728726,0.0021394117966740353,0.9815097073287923
netload_shape_value_update,val_august,validation,2025-08-25,0.04177134751590594,0.002677699593161791,0.9634383926521951
netload_shape_value_update,val_august,validation,2025-08-26,0.037660844265014495,0.0023450171367129435,0.9695391945379005
netload_shape_value_update,val_august,validation,2025-08-27,0.0499092101990747,0.0035274915132966853,0.9601377705544879
netload_shape_value_update,val_august,validation,2025-08-28,0.05473257556052174,0.005308796317691307,0.9297844421376423
netload_shape_value_update,val_august,validation,2025-08-29,0.05360504875866525,0.0047145413271756685,0.9653283498111084
netload_shape_value_update,val_august,validation,2025-08-30,0.0676563286572937,0.007601751026131121,0.9664666892403894
netload_shape_value_update,val_august,validation,2025-08-31,0.04427918375551823,0.003031670676736968,0.9540832730487904
netload_shape_value_update,eval_september,evaluation,2025-09-10,0.08399301873800856,0.012951124424721232,0.9051884896712484
netload_shape_value_update,eval_september,evaluation,2025-09-11,0.0804244822429965,0.013429834964084888,0.9312484238092714
netload_shape_value_update,eval_september,evaluation,2025-09-12,0.07292520744587334,0.008522663287649813,0.9330337855371815
netload_shape_value_update,eval_september,evaluation,2025-09-13,0.07283170253537362,0.010026345341453313,0.9207276760883394
netload_shape_value_update,eval_september,evaluation,2025-09-14,0.07206630523920471,0.010223936454777618,0.9123015370807429
netload_shape_value_update,eval_september,evaluation,2025-09-15,0.06623960756680101,0.009444744636037058,0.9483682983682985
netload_shape_value_update,eval_september,evaluation,2025-09-16,0.06590286437556125,0.0076034681046872644,0.9192074166329133
netload_shape_value_update,eval_september,evaluation,2025-09-17,0.06555161317176024,0.008182375774603654,0.9250349400259249
netload_shape_value_update,eval_september,evaluation,2025-09-18,0.060708841537765026,0.006567160044080959,0.9234304385326065
netload_shape_value_update,eval_september,evaluation,2025-09-19,0.04576700994448066,0.0034183326109402863,0.9488746885298609
netload_shape_value_update,eval_september,evaluation,2025-09-20,0.04910676783969192,0.003915446934236039,0.9493288320874529
netload_shape_value_update,eval_september,evaluation,2025-09-21,0.06403433412611016,0.007268301716893244,0.8968207877616124
netload_shape_value_update,eval_september,evaluation,2025-09-22,0.0588172919786384,0.005218926829645206,0.9244693442453845
netload_shape_value_update,eval_september,evaluation,2025-09-23,0.05468538083644178,0.005423887837770014,0.9369923518778022
netload_shape_value_update,eval_december,evaluation,2025-12-08,0.06120831618434727,0.007627123421753035,0.974666374622928
netload_shape_value_update,eval_december,evaluation,2025-12-09,0.05876959202715463,0.006531125475392289,0.9746543176900911
netload_shape_value_update,eval_december,evaluation,2025-12-10,0.06490101122131146,0.008382868299395644,0.9715576954398193
netload_shape_value_update,eval_december,evaluation,2025-12-11,0.05259748482391498,0.005511889750478821,0.9692116481915994
netload_shape_value_update,eval_december,evaluation,2025-12-12,0.06373201907300761,0.009748478906550805,0.9603327706775984
netload_shape_value_update,eval_december,evaluation,2025-12-13,0.06521384184960047,0.00914307957124643,0.9553803506358318
netload_shape_value_update,eval_december,evaluation,2025-12-14,0.05636056196840595,0.006057663632050361,0.9765151043245831
netload_shape_value_update,eval_december,evaluation,2025-12-15,0.05419305923697043,0.005592608102005655,0.9658186640945262
netload_shape_value_update,eval_december,evaluation,2025-12-16,0.04486702992558083,0.0038345600422240366,0.9798328108672937
netload_shape_value_update,eval_december,evaluation,2025-12-17,0.04385756373451715,0.0033911703731211466,0.9768306406237441
netload_shape_value_update,eval_december,evaluation,2025-12-18,0.046580154398287325,0.004098607429943977,0.9729412556684998
netload_shape_value_update,eval_december,evaluation,2025-12-19,0.057915417894166,0.006144826792124901,0.9668394823567237
netload_shape_value_update,eval_december,evaluation,2025-12-20,0.05368262827996108,0.005226125423666104,0.9718672132465236
netload_shape_value_update,eval_december,evaluation,2025-12-21,0.0406688479500526,0.0028205160389670357,0.9798950644965216
mean7_value_shift6h,dev_march,development,2025-03-07,0.1406079365079365,0.025812069433106582,0.9004530387966112
mean7_value_shift6h,dev_march,development,2025-03-08,0.15116150793650796,0.029660804790249438,0.9012034828478184
mean7_value_shift6h,dev_march,development,2025-03-09,0.04534335317460317,0.002935350936791382,0.9674553567396539
mean7_value_shift6h,dev_march,development,2025-03-10,0.06240009920634922,0.005933916778628118,0.9704485170002412
mean7_value_shift6h,dev_march,development,2025-03-11,0.05405089285714286,0.004426625905612246,0.9549452514774767
mean7_value_shift6h,dev_march,development,2025-03-12,0.048841567460317474,0.0034835145734126993,0.9494854703931044
mean7_value_shift6h,dev_march,development,2025-03-13,0.0678621031746032,0.007296072604875285,0.9513061650992686
mean7_value_shift6h,dev_march,development,2025-03-14,0.14629573412698413,0.02758656129960317,0.8839480024694369
mean7_value_shift6h,dev_march,development,2025-03-15,0.13138422619047618,0.022313922813208615,0.9237249052782829
mean7_value_shift6h,dev_march,development,2025-03-16,0.0531282738095238,0.004252353218537414,0.9561962022714037
mean7_value_shift6h,dev_march,development,2025-03-17,0.03631359126984128,0.0018954247548185952,0.9447038362227514
mean7_value_shift6h,dev_march,development,2025-03-18,0.048267757936507935,0.003697788533163265,0.9574259226369431
mean7_value_shift6h,dev_march,development,2025-03-19,0.04881170634920636,0.0036881068537414977,0.9667248748610364
mean7_value_shift6h,dev_march,development,2025-03-20,0.056766964285714275,0.004485051909013604,0.9592827739764247
mean7_value_shift6h,dev_april,development,2025-04-17,0.05517619047619049,0.004431555816326532,0.951180425148454
mean7_value_shift6h,dev_april,development,2025-04-18,0.13584444444444443,0.023298545683106575,0.9565125653664797
mean7_value_shift6h,dev_april,development,2025-04-19,0.13859573412698412,0.02475537533871882,0.9287746024515782
mean7_value_shift6h,dev_april,development,2025-04-20,0.053529960317460316,0.004229155464852606,0.9417217518381895
mean7_value_shift6h,dev_april,development,2025-04-21,0.04580932539682539,0.003034478191609977,0.9717154687283549
mean7_value_shift6h,dev_april,development,2025-04-22,0.060242261904761896,0.005172155977891156,0.9377641221868509
mean7_value_shift6h,dev_april,development,2025-04-23,0.05768124999999999,0.004809073907312924,0.9413802561899456
mean7_value_shift6h,dev_april,development,2025-04-24,0.0493328373015873,0.00366308536989796,0.9503032324778637
mean7_value_shift6h,dev_april,development,2025-04-25,0.15006011904761907,0.02804857521258504,0.9428864239209066
mean7_value_shift6h,dev_april,development,2025-04-26,0.15092718253968254,0.030297789512471654,0.9330236035104831
mean7_value_shift6h,dev_april,development,2025-04-27,0.05493998015873017,0.0047639669401927445,0.952306888513785
mean7_value_shift6h,dev_april,development,2025-04-28,0.08564384920634921,0.011570952406462585,0.9080830601273171
mean7_value_shift6h,dev_april,development,2025-04-29,0.04940337301587302,0.003729308724489795,0.9424341741723355
mean7_value_shift6h,dev_april,development,2025-04-30,0.05083402777777778,0.0042909022945011345,0.9241798255031051
mean7_value_shift6h,val_june,validation,2025-06-08,0.041805952380952374,0.002405002766439909,0.9684792219274979
mean7_value_shift6h,val_june,validation,2025-06-09,0.059196924603174605,0.005445977705498866,0.9546548347890249
