strategy,window,period,date,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,updates,changed_updates,emergency_slots
rolling_scenario_price_update,dev_march,development,2025-03-18,67410.50210628673,0.0,42259.572879437575,3909.571088806373,0.0,46169.14396824395,1957.8876881138508,529.6268884444464,2054.547113259264,1923.4232841185183,3,2,0
rolling_scenario_price_update,dev_march,development,2025-03-19,66482.01493899451,0.0,41093.18553831326,2789.850374769883,0.0,43883.03591308314,1865.482763971191,938.6000431111104,1923.4232841185183,2148.8383878740738,3,2,0
rolling_scenario_price_update,dev_march,development,2025-03-20,66484.2504320477,0.0,42243.350372694986,3499.889600332459,0.0,45743.23997302745,848.6848030288045,0.0,2148.8383878740738,1730.5008551037026,3,3,0
rolling_scenario_price_update,dev_april,development,2025-04-17,58487.929574221766,46.41690166666517,35472.73658183172,1896.6113552978327,222.27904472165946,37591.626981851216,1288.2896145473308,210.06656666666413,1702.8397013611866,2021.7860408498168,3,2,2
rolling_scenario_price_update,dev_april,development,2025-04-18,26427.47207420802,0.0,10460.131380645236,108.78822812994781,0.0,10568.919608775184,231.37573677777752,17329.36178234156,2021.7860408498168,2072.391314520992,3,1,0
rolling_scenario_price_update,dev_april,development,2025-04-19,26704.865799674997,0.0,10496.621054928786,97.99398586436863,0.0,10594.615040793155,391.5913488436141,17298.180504004114,2072.391314520992,1865.7843015359008,3,1,0
rolling_scenario_price_update,dev_april,development,2025-04-20,58102.36294970476,0.0,35077.21956010465,451.1636617952814,0.0,35528.38322189993,1626.1602206500004,416.65936959259307,1865.7843015359008,2037.9194308543247,3,2,0
rolling_scenario_price_update,dev_april,development,2025-04-21,53830.499403161855,0.0,32323.999731108026,2241.0802696728506,0.0,34565.08000078088,396.22038669684207,1857.1657783264768,2037.9194308543247,1449.9013066296295,3,1,0
rolling_scenario_price_update,dev_april,development,2025-04-22,57485.655815844984,0.0,34623.90974692791,2527.615239411296,0.0,37151.5249863392,1251.0512463882042,154.7242284650169,1449.9013066296295,1701.0543398444404,3,2,0
rolling_scenario_price_update,dev_april,development,2025-04-23,56567.96344491281,0.0,34592.49533397331,1112.818208903852,0.0,35705.313542877164,821.1814463936917,578.0881486666683,1701.0543398444404,1853.0116735580227,3,2,0
rolling_scenario_price_update,dev_april,development,2025-04-24,54271.19053861853,0.0,33000.4830444612,904.9842195137622,0.0,33905.46726397496,1256.3704503304689,2428.9017740740746,1853.0116735580227,1749.18162394568,3,1,0
rolling_scenario_price_update,dev_april,development,2025-04-25,25666.253050528117,0.0,9706.381327213712,281.1975339280808,0.0,9987.578861141794,135.74896441700815,21270.36072291084,1749.18162394568,1619.966942101235,3,2,0
rolling_scenario_price_update,dev_april,development,2025-04-26,26260.223358470506,0.0,10203.153722762596,55.605369526725156,0.0,10258.759092289321,195.51601499999967,23636.000720924556,1619.966942101235,1602.7355047037065,3,1,0
rolling_scenario_price_update,dev_april,development,2025-04-27,55603.370187894274,0.0,33565.60010835763,1357.110568969258,0.0,34922.71067732688,440.5422896666663,2670.7314875953384,1602.7355047037065,1852.1348327259252,3,3,0
rolling_scenario_price_update,dev_april,development,2025-04-28,63096.93051326474,0.0,38087.38780497914,1870.6428125542132,0.0,39958.03061753335,2430.656834722902,389.13803833333657,1852.1348327259252,1770.5664450197548,3,2,0
rolling_scenario_price_update,dev_april,development,2025-04-29,53461.809798420494,0.0,32617.87182027788,1638.4525351606085,0.0,34256.32435543849,707.3925109252925,1668.11506309877,1770.5664450197548,2029.6477472098786,3,2,0
rolling_scenario_price_update,dev_april,development,2025-04-30,52020.140234532235,0.0,30893.056103570303,1159.1829499076302,0.0,32052.239053477933,373.68627368587545,282.57384188888955,2029.6477472098786,1693.1472904864224,3,2,0
rolling_scenario_price_update,val_june,validation,2025-06-08,73302.92437135662,0.0,49780.945157943184,4147.538315166416,0.0,53928.4834731096,3850.2687455311707,0.0,1980.7640098607806,2655.951824172842,3,2,0
rolling_scenario_price_update,val_june,validation,2025-06-09,79061.2481424458,1.8381779999999708,55019.59012475355,2377.139828321608,12.993161192999795,57409.72311426816,4145.23506005761,0.0,2655.951824172842,2564.670969792594,3,3,1
rolling_scenario_price_update,val_june,validation,2025-06-10,79147.89998852825,0.0,54953.048950286706,1348.1275484489242,0.0,56301.17649873563,3731.379163285325,0.0,2564.670969792594,2323.8008745271645,3,2,0
rolling_scenario_price_update,val_june,validation,2025-06-11,84084.03469822924,0.0,58770.356056754514,2758.5593943630165,0.0,61528.91545111753,3569.5166920768224,0.0,2323.8008745271645,2545.6803172951727,3,3,0
rolling_scenario_price_update,val_june,validation,2025-06-12,79395.39091894885,0.0,54956.099087008144,3316.1898412946884,0.0,58272.288928302834,2931.825833850475,0.0,2545.6803172951727,2549.945473522077,3,2,0
