method,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
saa_load,2025-05,31,1591995.174623859,5362.4353757871,926641.8470968304,31068.05595627546,957709.9030531059,70449.21801751935,226802.05993059484,595577.3998125597,482281.5327276944,10648.709866134399,10800.0,0.6912003360215054,957615.7884408778,43,31,3.601599019020796e-10
saa_load,2025-06,30,2054261.0538487895,22852.783507932836,1382661.489595298,146785.70426897757,1529447.1938642755,150371.68830039873,70469.66060254259,559364.8540549887,453085.53178454086,10800.0,10800.0,0.7662756712962964,1529447.1938642755,83,30,2.2332642402034253e-09
saa_load,2025-07,31,2289196.110622728,10991.530442497575,1659387.7661506392,76458.06775417556,1735845.8339048147,134446.5765123569,105943.46692175123,605149.1479707919,490170.8098563414,10800.0,10800.0,0.8300811827956989,1735845.8339048147,80,31,4.0097347664413974e-10
saa_load,2025-08,31,2032659.3542425951,1818.0318056334625,1419416.2557745124,11979.801135755859,1431396.0569102685,91544.83344972656,241717.86251885377,616325.399015693,499223.57320271136,10800.0,10800.0,0.7864659722222223,1431396.0569102685,18,31,1.8199614260083763e-08
saa_load,2025-09,30,1828045.8499822307,437.47031047618987,1170735.6432997293,2313.2211631038062,1173048.8644628332,130341.39247098248,211569.4777222819,527638.2081367661,429449.62528732343,10800.0,8508.137003841259,0.7202801851851851,1174534.5696157962,8,30,1.8685000213736203e-09
saa_load,2025-10,31,1809518.934316541,1714.0915256960802,1104334.365332558,10050.47595241563,1114384.8412849738,63163.29983249998,156162.29007804953,608886.2278751034,492112.382976749,8508.137003841259,9714.20545060212,0.7202710573476703,1113603.01470913,17,31,3.1468516681343317e-10
saa_load,2025-11,30,2012064.8371689299,1666.7839007073155,1294872.1470922544,9256.693793793496,1304128.8408860478,61264.6075405783,46524.1673720494,619880.2746122092,501909.8364385331,9714.20545060212,9928.85655877594,0.7610268287037036,1303981.8211591297,23,30,2.916976882261224e-09
saa_load,2025-12,31,2598838.2584770857,11558.214055596593,1853825.8220484634,77568.15791927105,1931393.9799677345,111652.5522351343,9154.593604901711,657899.4524386144,532347.0619793012,9928.85655877594,10541.628220972158,0.8617168234767025,1930918.7478824968,49,31,1.1894556450897653e-09
oracle_actual,2025-02,28,1847545.2649918764,8.177991617230873e-12,1166388.823437392,3.848873753042881e-11,1166388.823437392,1.639222091398551e-11,22423.10628333334,630960.4560098764,519717.969368,10800.0,1200.0000000000032,0.7695711805555556,1173037.918437392,0,7,6.391326610404267e-12
oracle_actual,2025-03,31,1748150.9398358536,7.428724302371847e-12,1016942.8580121583,2.717751570457949e-11,1016942.8580121583,1.5070611425471725e-11,94824.34048847738,668468.0677932098,541459.1349124999,1200.0000000000032,1200.0000000000005,0.7255331989247312,1016942.8580121583,0,9,2.8251179173821583e-11
oracle_actual,2025-04,30,1470843.208600825,9.248424248653463e-12,826308.5506472171,4.2664475330411734e-11,826308.5506472171,5.404565683875262e-12,141675.52675000002,586516.2255306584,475078.14267983334,1200.0000000000005,1200.0,0.6988464120370371,826308.5506472171,0,11,8.537881512893364e-11
oracle_actual,2025-05,31,1457931.5554621276,7.560529979855346e-12,833329.5932666344,3.6651081281036114e-11,833329.5932666344,5.9117155615240335e-12,164480.3731962963,561266.9331534979,454626.2158543333,1200.0,1200.000000000001,0.6912003360215054,833329.5932666344,0,12,4.6497916628140956e-11
oracle_actual,2025-06,30,1908606.7978806049,3.1525004828836246e-12,1228992.944824067,9.026437464143554e-12,1228992.944824067,1.439559582649963e-11,45838.532831893026,593553.1519230452,480778.05305766664,1200.000000000001,1200.0000000000005,0.7662756712962964,1228992.944824067,0,8,5.059064278611913e-12
oracle_actual,2025-07,31,2131003.50403465,4.5890402589066064e-12,1505778.718571648,2.1743426970033397e-11,1505778.718571648,1.2448708730516955e-11,71212.46701666668,605114.6184279835,490142.8409266666,1200.0000000000005,1200.0000000000002,0.8300811827956989,1505778.718571648,0,8,5.1954884838778526e-11
oracle_actual,2025-08,31,1860466.247332216,4.576605761030805e-12,1282523.3369217603,2.263681118108707e-11,1282523.3369217603,6.59561294469313e-12,168055.15568333335,569990.670432716,461692.4430505,1200.0000000000002,1200.0000000000002,0.7864659722222223,1282523.3369217603,0,11,2.120259523508139e-11
oracle_actual,2025-09,30,1635446.3641759772,1.1412826239620698e-11,992615.3837871541,5.1610375439992134e-11,992615.3837871541,9.038103598868474e-12,131463.73163333334,608414.5541718106,492815.78887916665,1200.0000000000002,1200.0000000000007,0.7202801851851851,992615.3837871541,0,12,1.6143530956469476e-11
oracle_actual,2025-10,31,1719414.367429218,9.279688129026908e-12,1013240.0626614131,4.4553446088002604e-11,1013240.0626614131,6.863842827442568e-12,117743.28338333334,665986.805329218,539449.3123166667,1200.0000000000007,1200.0000000000007,0.7202710573476703,1013240.0626614131,0,11,6.31530383543577e-11
oracle_actual,2025-11,30,1946987.2471384092,9.944756129698362e-12,1223757.0352222694,4.11882169260025e-11,1223757.0352222696,1.4286349880876514e-11,32451.573045473255,666122.4532084361,539559.1870988333,1200.0000000000007,1200.0000000000014,0.7610268287037036,1223757.0352222696,0,8,2.4215296434704214e-11
oracle_actual,2025-12,31,2507803.70688786,7.58291207603179e-12,1747755.9487368125,4.478358164305973e-11,1747755.9487368125,2.7782220968219917e-11,6.3655747339907975e-12,756667.2139711933,612900.4433166666,1200.0000000000014,1200.0000000000007,0.8617168234767025,1747755.9487368125,0,0,4.042198674546348e-12
