date,candidate,inventory_adjusted_cost
2025-06-10,blend75,59552.71816699068
2025-06-10,fixed,59643.41376025465
2025-06-10,mean14,59617.639108459276
2025-06-10,mean7,59504.58277520363
2025-06-11,blend25,60376.45193117748
2025-06-11,blend50,60242.1009008228
2025-06-11,blend75,60012.52006772363
2025-06-11,fixed,60426.973665934995
2025-06-11,mean14,60036.69404565126
2025-06-11,mean7,60018.42445701442
2025-06-12,blend25,61123.29628683764
2025-06-12,blend50,61008.71934665251
2025-06-12,blend75,60957.78910795563
2025-06-12,fixed,61225.22046328776
2025-06-12,mean14,60941.053446238955
2025-06-12,mean7,60988.07675685861
2025-06-13,blend25,20202.381625712416
2025-06-13,blend50,20212.532398211257
2025-06-13,blend75,20214.55255151454
2025-06-13,fixed,20164.782622141516
2025-06-13,mean14,20212.775081563046
2025-06-13,mean7,20198.46544874451
2025-06-14,blend25,20756.67132897352
2025-06-14,blend50,20749.499706769802
2025-06-14,blend75,20786.99227184552
2025-06-14,fixed,20842.416283858453
2025-06-14,mean14,20751.723129119906
2025-06-14,mean7,20734.658483902036
2025-06-15,blend25,61391.02824346129
2025-06-15,blend50,61245.98392064101
2025-06-15,blend75,61152.75900761223
2025-06-15,fixed,61339.65208761995
2025-06-15,mean14,61098.61080458328
2025-06-15,mean7,61221.31826056113
2025-06-16,blend25,61780.06775144082
2025-06-16,blend50,61700.57144050429
2025-06-16,blend75,61725.48864629044
2025-06-16,fixed,61777.01738002128
2025-06-16,mean14,61657.99211684286
2025-06-16,mean7,61476.35875530979
2025-06-17,blend25,61275.93605903942
2025-06-17,blend50,61000.58676988821
2025-06-17,blend75,60994.513815073245
2025-06-17,fixed,61331.83487436591
2025-06-17,mean14,60793.287764406945
2025-06-17,mean7,60876.57128456168
2025-06-18,blend25,60882.32964484247
2025-06-18,blend50,60860.42126930864
2025-06-18,blend75,60909.85672724727
2025-06-18,fixed,60915.473715630345
2025-06-18,mean14,60825.02734839564
2025-06-18,mean7,60800.36338807553
2025-06-19,blend25,59229.79716235771
2025-06-19,blend50,59106.37710140976
2025-06-19,blend75,59125.91189372236
2025-06-19,fixed,59357.296045216055
2025-06-19,mean14,59058.395343498596
2025-06-19,mean7,59101.29466624038
2025-06-20,blend25,18683.184966259993
2025-06-20,blend50,18683.184966259993
2025-06-20,blend75,18688.32398949587
2025-06-20,fixed,18611.987993533352
2025-06-20,mean14,18688.32398949587
2025-06-20,mean7,18691.850770147947
2025-07-21,blend25,62414.98445434617
2025-07-21,blend50,62308.61456528308
2025-07-21,blend75,62286.980719168445
2025-07-21,fixed,62611.5002510245
2025-07-21,mean14,62269.29581913272
2025-07-21,mean7,62269.29581913272
2025-07-22,blend25,64079.3875662389
2025-07-22,blend50,64063.26273596427
2025-07-22,blend75,64067.1600692976
2025-07-22,fixed,64395.52602241737
2025-07-22,mean14,64078.05018163778
2025-07-22,mean7,64068.53864999397
2025-07-23,blend25,63777.29512519015
2025-07-23,blend50,63754.79512519015
2025-07-23,blend75,63766.03536903504
2025-07-23,fixed,63884.707697947626
2025-07-23,mean14,63759.083369035034
2025-07-23,mean7,63729.50897259726
2025-07-24,blend25,64024.29199543302
2025-07-24,blend50,64083.93180527773
2025-07-24,blend75,64086.879631891876
2025-07-24,fixed,64407.308441511326
2025-07-24,mean14,64087.06444994228
2025-07-24,mean7,64119.66730931383
2025-07-25,blend25,25272.87305467413
2025-07-25,blend50,25272.87305467413
2025-07-25,blend75,25272.87305467413
2025-07-25,fixed,25289.301197606925
2025-07-25,mean14,25272.87305467413
2025-07-25,mean7,25322.02204645162
2025-07-26,blend25,25550.97338281081
2025-07-26,blend50,25550.97338281081
2025-07-26,blend75,25550.97338281081
2025-07-26,fixed,25551.707013579195
2025-07-26,mean14,25550.97338281081
2025-07-26,mean7,25550.97338281081
2025-07-27,blend25,62248.99545306929
2025-07-27,blend50,62205.97378968921
2025-07-27,blend75,62084.64041526502
2025-07-27,fixed,62394.83048464078
2025-07-27,mean14,62074.951425776315
2025-07-27,mean7,62090.93027637262
2025-07-28,blend25,63198.67662727698
2025-07-28,blend50,63145.048250328815
2025-07-28,blend75,63113.18881715961
2025-07-28,fixed,63315.12441408528
2025-07-28,mean14,63046.16317028282
2025-07-28,mean7,63227.57930231751
2025-07-29,blend25,65770.17565908421
2025-07-29,blend50,65591.46213880654
2025-07-29,blend75,65502.120761172126
2025-07-29,fixed,65741.64373212898
2025-07-29,mean14,65511.600718493464
2025-07-29,mean7,65533.8525504293
2025-07-30,blend25,66089.85166633698
2025-07-30,blend50,65928.97117617034
2025-07-30,blend75,65865.18413861295
2025-07-30,fixed,66177.2431968526
2025-07-30,mean14,65865.18413861295
2025-07-30,mean7,66000.74877775469
2025-07-31,blend25,64989.20502959252
2025-07-31,blend50,64951.15869891693
2025-07-31,blend75,64951.15869891693
